points,vdot_lo,vdot_hi,quality,presc_key,amount
10,0,39,L,km,8
10,0,39,M,km,6.4
10,0,39,T,km,3
10,0,39,T,reps_1600m,2
10,0,39,I,reps_400m,5
10,0,39,I,reps_1000m,2
10,0,39,R,reps_200m,8
10,0,39,R,reps_400m,4
10,40,45,L,km,8
10,40,45,M,km,6.4
10,40,45,T,km,3
10,40,45,T,reps_1600m,2
10,40,45,I,reps_400m,6
10,40,45,I,reps_1000m,2
10,40,45,R,reps_200m,8
10,40,45,R,reps_400m,4
10,46,50,L,km,9.6
10,46,50,M,km,7.2
10,46,50,T,km,4
10,46,50,T,reps_1600m,2.5
10,46,50,I,reps_400m,6
10,46,50,I,reps_1000m,2
10,46,50,I,reps_1200m,2
10,46,50,R,reps_200m,10
10,46,50,R,reps_400m,5
10,51,55,L,km,10.4
10,51,55,M,km,8
10,51,55,T,km,4
10,51,55,T,reps_1600m,2.5
10,51,55,I,reps_400m,7
10,51,55,I,reps_1000m,3
10,51,55,I,reps_1200m,2
10,51,55,R,reps_200m,10
10,51,55,R,reps_400m,5
10,51,55,R,reps_600m,3
10,56,60,L,km,11.2
10,56,60,M,km,8
10,56,60,T,km,5
10,56,60,T,reps_1600m,3
10,56,60,I,reps_400m,7
10,56,60,I,reps_1000m,3
10,56,60,I,reps_1200m,2
10,56,60,R,reps_200m,12
10,56,60,R,reps_400m,6
10,56,60,R,reps_600m,3
10,61,65,L,km,12
10,61,65,M,km,8.8
10,61,65,T,km,5
10,61,65,T,reps_1600m,3
10,61,65,I,reps_400m,8
10,61,65,I,reps_1000m,3
10,61,65,I,reps_1200m,3
10,61,65,R,reps_200m,12
10,61,65,R,reps_400m,6
10,61,65,R,reps_600m,3
10,66,70,L,km,12.8
10,66,70,M,km,9.6
10,66,70,T,km,5
10,66,70,T,reps_1600m,3
10,66,70,I,reps_400m,8
10,66,70,I,reps_1000m,3
10,66,70,I,reps_1200m,3
10,66,70,R,reps_200m,12
10,66,70,R,reps_400m,6
10,66,70,R,reps_600m,4
10,66,70,R,reps_800m,3
10,71,75,L,km,13.6
10,71,75,M,km,10.4
