vdot,intensity,distance_m,seconds
30,E,1000,472.0
30,E,1609.34,760.0
30,I,400,142.0
30,M,1000,423.0
30,M,1609.34,681.0
30,R,200,67.0
30,R,300,101.0
30,T,400,153.0
30,T,800,307.0
30,T,1000,384.0
30,T,1609.34,618.0
31,E,1000,461.0
31,E,1609.34,742.0
31,I,400,138.0
31,M,1000,412.0
31,M,1609.34,662.0
31,R,200,65.0
31,R,300,98.0
31,T,400,150.0
31,T,800,299.0
31,T,1000,374.0
31,T,1609.34,602.0
32,E,1000,450.0
32,E,1609.34,724.0
32,I,400,134.0
32,M,1000,400.0
32,M,1609.34,644.0
32,R,200,63.0
32,R,300,95.0
32,T,400,146.0
32,T,800,292.0
32,T,1000,365.0
32,T,1609.34,587.0
33,E,1000,440.0
33,E,1609.34,708.0
33,I,400,131.0
33,M,1000,390.0
33,M,1609.34,627.0
33,R,200,61.0
33,R,300,92.0
33,T,400,143.0
33,T,800,285.0
33,T,1000,356.0
33,T,1609.34,573.0
34,E,1000,430.0
34,E,1609.34,692.0
34,I,400,128.0
34,M,1000,380.0
34,M,1609.34,611.0
34,R,200,60.0
34,R,300,90.0
34,R,400,120.0
34,T,400,139.0
34,T,800,278.0
34,T,1000,348.0
34,T,1609.34,560.0
35,E,1000,421.0
35,E,1609.34,677.0
35,I,400,125.0
35,M,1000,370.0
35,M,1609.34,596.0
35,R,200,58.0
35,R,300,87.0
35,R,400,119.0
35,T,400,136.0
35,T,800,272.0
35,T,1000,340.0
35,T,1609.34,547.0
36,E,1000,412.0
36,E,1609.34,662.0
36,I,400,122.0
36,M,1000,361.0
36,M,1609.34,581.0
36,R,200,57.0
36,R,300,85.0
36,R,400,115.0
36,T,400,133.0
36,T,800,266.0
36,T,1000,333.0
36,T,1609.34,535.0
37,E,1000,403.0
37,E,1609.34,649.0
37,I,400,119.0
37,M,1000,353.0
37,M,1609.34,568.0
37,R,200,55.0
37,R,300,83.0
37,R,400,113.0
37,T,400,130.0
37,T,800,260.0
37,T,1000,325.0
37,T,1609.34,524.0
38,E,1000,395.0
38,E,1609.34,635.0
38,I,400,116.0
38,I,1000,294.0
38,M,1000,345.0
38,M,1609.34,555.0
38,R,200,54.0
38,R,300,81.0
38,R,400,110.0
38,T,400,127.0
38,T,800,255.0
38,T,1000,319.0
38,T,1609.34,513.0
39,E,1000,387.0
39,E,1609.34,623.0
39,I,400,114.0
39,I,1000,288.0
39,M,1000,337.0
39,M,1609.34,542.0
39,R,200,53.0
39,R,300,80.0
39,R,400,108.0
39,T,400,125.0
39,T,800,250.0
39,T,1000,312.0
39,T,1609.34,502.0
40,E,1000,379.0
40,E,1609.34,611.0
40,I,400,112.0
40,I,1000,282.0
40,M,1000,329.0
40,M,1609.34,530.0
40,R,200,52.0
40,R,300,78.0
40,R,400,106.0
40,T,400,122.0
40,T,800,245.0
40,T,1000,306.0
40,T,1609.34,492.0
41,E,1000,372.0
41,E,1609.34,599.0
41,I,400,110.0
41,I,1000,276.0
41,M,1000,322.0
41,M,1609.34,519.0
41,R,200,51.0
41,R,300,77.0
41,R,400,104.0
41,T,400,120.0
41,T,800,240.0
41,T,1000,300.0
41,T,1609.34,482.0
42,E,1000,365.0
42,E,1609.34,588.0
42,I,400,108.0
42,I,1000,271.0
42,M,1000,316.0
42,M,1609.34,508.0
42,R,200,50.0
42,R,300,75.0
42,R,400,102.0
42,T,400,117.0
42,T,800,235.0
42,T,1000,294.0
42,T,1609.34,472.0
43,E,1000,358.0
43,E,1609.34,577.0
43,I,400,106.0
43,I,1000,266.0
43,M,1000,309.0
43,M,1609.34,497.0
43,R,200,49.0
43,R,300,74.0
43,R,400,100.0
43,T,400,115.0
43,T,800,231.0
43,T,1000,289.0
43,T,1609.34,462.0
44,E,1000,352.0
44,E,1609.34,567.0
44,I,400,104.0
44,I,1000,261.0
44,M,1000,303.0
44,M,1609.34,487.0
44,R,200,48.0
44,R,300,72.0
44,R,400,98.0
44,T,400,113.0
44,T,800,226.0
44,T,1000,283.0
44,T,1609.34,453.0
45,E,1000,346.0
45,E,1609.34,557.0
45,I,400,102.0
45,I,1000,256.0
45,M,1000,297.0
45,M,1609.34,478.0
45,R,200,47.0
45,R,300,71.0
45,R,400,96.0
45,T,400,111.0
45,T,800,222.0
45,T,1000,278.0
45,T,1609.34,445.0
46,E,1000,340.0
46,E,1609.34,547.0
46,I,400,100.0
46,I,1000,252.0
46,I,1200,300.0
46,M,1000,291.0
46,M,1609.34,469.0
46,R,200,46.0
46,R,300,69.0
46,R,400,94.0
46,T,400,109.0
46,T,800,218.0
46,T,1000,273.0
46,T,1609.34,437.0
47,E,1000,334.0
47,E,1609.34,538.0
47,I,400,98.0
47,I,1000,247.0
47,I,1200,294.0
47,M,1000,286.0
47,M,1609.34,460.0
47,R,200,45.0
47,R,300,68.0
47,R,400,92.0
47,T,400,107.0
47,T,800,215.0
47,T,1000,269.0
47,T,1609.34,429.0
48,E,1000,328.0
48,E,1609.34,529.0
48,I,400,96.0
48,I,1000,243.0
48,I,1200,289.0
48,M,1000,281.0
48,M,1609.34,452.0
48,R,200,44.0
48,R,300,67.0
48,R,400,90.0
48,T,400,105.0
48,T,800,211.0
48,T,1000,264.0
48,T,1609.34,422.0
49,E,1000,323.0
