vdot,distance_m,seconds
30,1500,510.0
30,1609.34,551.0
30,3000,1076.0
30,3218.69,1159.0
30,5000,1840.0
30,8000,3032.0
30,8045.47,3050.0
30,10000,3826.0
30,15000,5894.0
30,16093.4,6355.0
30,20000,8001.0
30,21097.5,8464.0
30,25000,10109.0
30,30000,12217.0
30,42195.0,17357.0
31,1500,495.0
31,1609.34,535.0
31,3000,1047.0
31,3218.69,1128.0
31,5000,1791.0
31,8000,2950.0
31,8045.47,2968.0
31,10000,3723.0
31,15000,5736.0
31,16093.4,6185.0
31,20000,7790.0
31,21097.5,8241.0
31,25000,9846.0
31,30000,11902.0
31,42195.0,16917.0
32,1500,482.0
32,1609.34,521.0
32,3000,1019.0
32,3218.69,1098.0
32,5000,1745.0
32,8000,2874.0
32,8045.47,2891.0
32,10000,3626.0
32,15000,5587.0
32,16093.4,6025.0
32,20000,7589.0
32,21097.5,8029.0
32,25000,9596.0
32,30000,11603.0
32,42195.0,16499.0
33,1500,469.0
33,1609.34,507.0
33,3000,993.0
33,3218.69,1070.0
33,5000,1701.0
33,8000,2801.0
33,8045.47,2818.0
33,10000,3534.0
33,15000,5445.0
33,16093.4,5872.0
33,20000,7398.0
33,21097.5,7827.0
33,25000,9358.0
33,30000,11319.0
33,42195.0,16102.0
34,1500,457.0
34,1609.34,494.0
34,3000,969.0
34,3218.69,1044.0
34,5000,1659.0
34,8000,2731.0
34,8045.47,2748.0
34,10000,3446.0
34,15000,5310.0
34,16093.4,5727.0
34,20000,7217.0
34,21097.5,7636.0
34,25000,9132.0
34,30000,11048.0
34,42195.0,15723.0
35,1500,445.0
35,1609.34,481.0
35,3000,945.0
35,3218.69,1018.0
35,5000,1620.0
35,8000,2666.0
35,8045.47,2682.0
35,10000,3363.0
35,15000,5182.0
35,16093.4,5589.0
35,20000,7044.0
35,21097.5,7453.0
35,25000,8916.0
35,30000,10791.0
35,42195.0,15363.0
36,1500,434.0
36,1609.34,469.0
36,3000,923.0
36,3218.69,994.0
36,5000,1582.0
36,8000,2603.0
36,8045.47,2619.0
36,10000,3284.0
36,15000,5060.0
36,16093.4,5458.0
36,20000,6880.0
36,21097.5,7279.0
36,25000,8711.0
36,30000,10545.0
36,42195.0,15019.0
37,1500,424.0
37,1609.34,458.0
37,3000,901.0
37,3218.69,971.0
37,5000,1546.0
37,8000,2544.0
37,8045.47,2559.0
37,10000,3209.0
37,15000,4944.0
37,16093.4,5333.0
37,20000,6723.0
37,21097.5,7114.0
37,25000,8515.0
37,30000,10311.0
37,42195.0,14690.0
38,1500,414.0
38,1609.34,447.0
38,3000,881.0
38,3218.69,949.0
38,5000,1512.0
38,8000,2487.0
38,8045.47,2502.0
38,10000,3137.0
38,15000,4833.0
38,16093.4,5214.0
38,20000,6573.0
38,21097.5,6955.0
38,25000,8328.0
38,30000,10086.0
38,42195.0,14375.0
39,1500,404.0
