# approximate VDOT pace table (see scripts/vdot.py + docs/09).
# TODO: replace with an authoritative table when available.
vdot,e_slow_minkm,e_fast_minkm,m_minkm,t_minkm,i_minkm,r_400m_sec
30,9:34,8:23,6:54,6:24,5:47,135
31,9:20,8:11,6:44,6:14,5:38,131
32,9:07,7:59,6:34,6:05,5:30,128
33,8:55,7:48,6:24,5:56,5:22,125
34,8:43,7:38,6:15,5:48,5:14,122
35,8:32,7:28,6:07,5:40,5:07,119
36,8:21,7:18,5:59,5:32,5:00,116
37,8:11,7:09,5:51,5:25,4:54,114
38,8:01,7:00,5:44,5:18,4:47,111
39,7:51,6:52,5:37,5:12,4:41,109
40,7:42,6:44,5:30,5:06,4:36,107
41,7:34,6:36,5:23,5:00,4:30,105
42,7:25,6:28,5:17,4:54,4:25,103
43,7:17,6:21,5:11,4:48,4:20,101
44,7:10,6:14,5:06,4:43,4:15,99
45,7:02,6:08,5:00,4:38,4:11,97
46,6:55,6:01,4:55,4:33,4:06,95
47,6:48,5:55,4:50,4:28,4:02,94
48,6:41,5:49,4:45,4:24,3:58,92
49,6:35,5:44,4:40,4:19,3:54,91
50,6:29,5:38,4:36,4:15,3:50,89
51,6:23,5:33,4:31,4:11,3:46,88
52,6:17,5:28,4:27,4:07,3:43,86
53,6:11,5:23,4:23,4:03,3:39,85
54,6:06,5:18,4:19,4:00,3:36,84
55,6:01,5:13,4:15,3:56,3:33,83
56,5:56,5:09,4:12,3:53,3:30,81
57,5:51,5:05,4:08,3:49,3:27,80
58,5:46,5:00,4:04,3:46,3:24,79
59,5:41,4:56,4:01,3:43,3:21,78
60,5:37,4:52,3:58,3:40,3:18,77
61,5:32,4:48,3:55,3:37,3:16,76
62,5:28,4:45,3:52,3:34,3:13,75
63,5:24,4:41,3:49,3:32,3:11,74
64,5:20,4:37,3:46,3:29,3:08,73
65,5:16,4:34,3:43,3:26,3:06,72
66,5:12,4:31,3:40,3:24,3:04,71
67,5:08,4:27,3:37,3:21,3:02,70
68,5:04,4:24,3:35,3:19,2:59,70
69,5:01,4:21,3:32,3:17,2:57,69
70,4:57,4:18,3:30,3:14,2:55,68
71,4:54,4:15,3:27,3:12,2:53,67
72,4:51,4:12,3:25,3:10,2:51,66
73,4:48,4:09,3:23,3:08,2:49,66
74,4:44,4:07,3:21,3:06,2:48,65
75,4:41,4:04,3:18,3:04,2:46,64
76,4:38,4:01,3:16,3:02,2:44,64
77,4:35,3:59,3:14,3:00,2:42,63
78,4:33,3:56,3:12,2:58,2:41,62
79,4:30,3:54,3:10,2:56,2:39,62
80,4:27,3:52,3:08,2:54,2:37,61
81,4:24,3:49,3:06,2:53,2:36,60
82,4:22,3:47,3:05,2:51,2:34,60
83,4:19,3:45,3:03,2:49,2:33,59
84,4:17,3:43,3:01,2:48,2:31,59
85,4:14,3:40,2:59,2:46,2:30,58
